rat,half,dPrime,controlLesion,ambiguity
17,2,3.40857156969716,1,2
18,2,1.45836674082774,1,2
19,2,1.48629721623887,1,2
20,2,3.40864349726609,1,2
21,2,3.36491302989642,1,2
22,2,1.14910336919145,1,2
23,2,3.45924008745318,1,2
24,2,2.03492629057429,1,2
25,2,3.82250495021713,1,2
26,2,2.85367246369287,1,2
27,2,1.28778719756322,1,2
28,2,3.90477574686145,1,2
29,2,3.50425401879111,1,2
30,2,3.74344810842786,1,2
31,2,1.80933588731071,1,2
32,2,1.94631326716624,1,2
33,2,1.68178686477234,1,2
34,2,1.62396802756468,1,2
35,2,3.50425401879111,1,2
36,2,2.24452083469517,1,2
37,2,1.4163486842355,1,2
38,2,1.94631326716624,1,2
39,2,1.43883905004661,1,2
40,2,3.65474397878699,1,2
41,2,3.78529133575194,1,2
42,2,3.82250495021713,1,2
43,2,1.83746889401963,1,2
44,2,1.44707470561676,1,2
45,2,1.91679077889095,1,2
46,2,1.74159194981879,1,2
47,2,1.85919736154136,1,2
48,2,1.75764066334419,1,2
1,2,3.98484682305701,2,1
2,2,4.58021496624974,2,1
3,2,4.26559571443272,2,1
4,2,4.54757616279058,2,1
5,2,3.94710956783696,2,1
6,2,4.26559571443272,2,1
7,2,3.50425401879111,2,1
8,2,3.61374500138063,2,1
9,2,4.60923677761831,2,1
10,2,4.01838060860567,2,1
11,2,3.23959628898846,2,1
12,2,3.69107892509719,2,1
13,2,3.82250495021713,2,1
14,2,2.19924116152501,2,1
15,2,4.29183079852385,2,1
16,2,2.61562265637155,2,1
17,2,4.16450613848838,2,1
18,2,3.65474397878699,2,1
19,2,4.63490201185359,2,1
20,2,3.85733600129437,2,1
21,2,4.04800864740507,2,1
22,2,4.23580504552988,2,1
23,2,4.20221617602431,2,1
24,2,2.58816237309326,2,1
25,2,4.58021496624974,2,1
26,2,3.94710956783696,2,1
27,2,4.63490201185359,2,1
28,2,4.63490201185359,2,1
29,2,4.01838060860567,2,1
30,2,2.85915530001041,2,1
31,2,1.64315886506212,2,1
32,2,4.16450613848838,2,1
33,2,4.23580504552988,2,1
34,2,2.84789276472019,2,1
35,2,3.94710956783696,2,1
36,2,4.07394712622474,2,1
37,2,2.85915530001041,2,1
38,2,4.16450613848838,2,1
39,2,4.20221617602431,2,1
40,2,4.58021496624974,2,1
41,2,4.58021496624974,2,1
42,2,4.58021496624974,2,1
43,2,4.23580504552988,2,1
44,2,3.78529133575194,2,1
45,2,4.26559571443272,2,1
46,2,4.16450613848838,2,1
47,2,4.12225569806701,2,1
48,2,4.23580504552988,2,1
1,2,3.65474397878699,2,2
2,2,3.82250495021713,2,2
3,2,4.29183079852385,2,2
4,2,3.69649921566592,2,2
5,2,4.26559571443272,2,2
6,2,3.98484682305701,2,2
7,2,2.05972711514179,2,2
8,2,3.85733600129437,2,2
9,2,3.40857156969716,2,2
10,2,3.98484682305701,2,2
11,2,2.60404869182306,2,2
12,2,4.29183079852385,2,2
13,2,4.23580504552988,2,2
14,2,4.23580504552988,2,2
15,2,2.86662780369638,2,2
16,2,2.25943825592186,2,2
17,2,4.01838060860567,2,2
18,2,3.82250495021713,2,2
